Qel	Qelflex	Qelabwteil	Qelabw	Qww	Pers	Queber	Solltemperatur Decke	Solltemperatur Decke	
kW/HH	kW/HH	kW/HH	kW/HH	l/HH	Pers/HH	Freigabe	Celsium	Celsium	
0.423801696	0	0	0.423801696	0	2	0	28	22	83
0.372515692	0	0	0.372515692	0	2	0	28.5	22	83.25
0.105358568	0	0	0.105358568	20	2	0	29	22	83.5
0.144707012	0	0	0.144707012	0	2	0	29.5	22	83.75
0.127687008	0	0	0.127687008	0	2	0	30	22	84
0.121157064	0	0	0.121157064	0	0	0	30.5	22	84.25
0.03495298	0	0	0.03495298	0	0	0	31	22	84.5
0.055020144	0	0	0.055020144	0	0	0	31.5	22	84.75
0.035275076	0	0	0.035275076	0	0	0	32	22	85
0.050756108	0	0	0.050756108	0	2	0	32.5	22	85.25
0.110506292	0	0	0.110506292	0	2	0	33	22	85.5
0.11798604	0	0	0.11798604	0	2	0	33.5	22	85.75
0.035474532	0	0	0.035474532	0	2	0	34	22	86
0.056043816	0	0	0.056043816	0	2	0	34	22	86.25
0.035146084	0	0	0.035146084	0	2	0	34	22	86.5
0.056080328	0	0	0.056080328	0	2	0	34	22	86.75
0.03520374	0	0	0.03520374	0	2	0	34	22	87
0.068918048	0	0	0.068918048	0	2	0	34	22	87.25
1.915562128	0	0	1.915562128	0	2	0	34	22	87.5
0.2478177	0	0	0.2478177	0	2	0	34	22	87.75
0.087849444	0	0	0.087849444	0	2	0	34	22	88
0.368973472	0	0	0.368973472	50	0	0	33.5	22	88.25
0.2669008	0	0	0.2669008	20	0	0	33	22	88.5
0.581789208	0	0	0.581789208	20	0	0	32.5	22	88.75
0.481932216	0	0	0.481932216	0	0	0	32	22	89
0.68536224	0	0	0.68536224	0	0	0	31.5	22	89.25
0.613239076	0	0	0.613239076	10	0	0	31	22	89.5
0.449304668	0	0	0.449304668	10	0	0	30.5	22	89.75
0.364369508	0	0	0.364369508	10	0	0	30	22	90
0.126088856	0	0	0.126088856	0	2	0	29.5	22	90.25
0.055949564	0	0	0.055949564	0	2	0	29	22	90.5
0.035205392	0	0	0.035205392	0	2	0	28.5	22	90.75
0.064076276	0	0	0.064076276	20	2	0	28	22	91
0.0420451	0	0	0.0420451	0	0	0	27.5	22	91.25
0.063042608	0	0	0.063042608	0	0	0	27	22	91.5
0.037109812	0	0	0.037109812	0	0	0	26.5	22	91.75
0.12740204	0	0	0.12740204	0	0	0	26	22	92
0.12418406	0	0	0.12418406	0	2	0	25.5	22	92.25
0.097586956	0	0	0.097586956	0	2	0	25	22	92.5
0.068108324	0	0	0.068108324	20	2	0	24.5	22	92.75
0.066438944	0	0	0.066438944	0	2	0	24	22	93
0.070351204	0	0	0.070351204	0	2	0	23.5	22	93.25
0.108104544	0	0	0.108104544	20	2	0	23	22	93.5
0.087867548	0	0	0.087867548	0	2	0	22.5	22	93.75
1.1732213	0	0	1.1732213	0	2	0	22	22	94
1.164852036	0	0	1.164852036	0	2	0	22	22	94.25
0.115757524	0	0	0.115757524	0	2	0	22	22	94.5
0.035477468	0	0	0.035477468	0	2	0	22	22	94.75
0.559490372	0.21093614	0.21093614	0.454022302	20	2	0	22	22	95
1.750962116	1.39219066	1.39219066	1.054866786	0	2	0	22	22	95.25
0.644274332	0.027952896	0.027952896	0.630297884	0	2	0	22	22	95.5
0.590318824	0.026770536	0.026770536	0.576933556	0	2	0	22	22	95.75
0.936055044	0.2754029	0.2754029	0.798353594	0	2	0	22	22	96
0.332891092	0.007017168	0.007017168	0.329382508	0	0	0	22	22	96.25
0.298847332	0	0	0.298847332	0	0	0	22	22	96.5
0.099491548	0	0	0.099491548	0	0	0	22	22	96.75
0.138868696	0	0	0.138868696	0	0	0	22	22	97
0.070828368	0	0	0.070828368	0	2	0	22	22	97.25
0.057429672	0	0	0.057429672	0	2	0	22	22	97.5
0.035450252	0	0	0.035450252	0	2	0	22	22	97.75
0.050126136	0	0	0.050126136	0	2	0	22	22	98
0.040144468	0	0	0.040144468	0	2	0	22	22	98.25
0.040556476	0	0	0.040556476	0	2	0	22	22	98.5
0.050110308	0	0	0.050110308	0	2	0	22	22	98.75
0.03495192	0	0	0.03495192	0	2	0	22	22	99
0.076671456	0	0	0.076671456	20	2	0	22	22	99.25
0.356940696	0	0	0.356940696	0	2	0	22	22	99.5
0.696098684	0	0	0.696098684	0	2	0	22	22	99.75
0.209753448	0	0	0.209753448	50	2	0	22	22	100
0.237861848	0	0	0.237861848	10	0	0	22	22	100.25
0.065700072	0	0	0.065700072	10	0	0	22	22	100.5
0.119748956	0	0	0.119748956	80	0	0	22	22	100.75
0.377528552	0	0	0.377528552	20	0	0	22	22	101
0.047528088	0	0	0.047528088	10	0	0	22	22	101.25
0.06312788	0	0	0.06312788	0	0	0	22	22	101.5
0.569196956	0	0	0.569196956	0	0	0	22	22	101.75
1.597357392	0	0	1.597357392	0	0	1	22	22	102
0.059550652	0	0	0.059550652	0	2	1	22	22	102.25
0.055979196	0	0	0.055979196	0	2	1	22	22	102.5
0.05340894	0	0	0.05340894	20	2	1	22	22	102.75
0.091522688	0	0	0.091522688	0	2	1	22	22	103
0.07501078	0	0	0.07501078	0	0	1	22	22	103.25
0.401554292	0	0	0.401554292	20	0	1	22	22	103.5
1.401491004	0	0	1.401491004	0	0	1	22	22	103.75
0.05909714	0	0	0.05909714	0	0	1	22	22	104
0.131632132	0	0	0.131632132	0	2	1	22.5	22	104.25
0.390292292	0	0	0.390292292	0	2	1	23	22	104.5
0.357922556	0	0	0.357922556	0	2	1	23.5	22	104.75
0.308031936	0	0	0.308031936	0	2	1	24	22	105
0.36717232	0	0	0.36717232	0	2	1	24.5	22	105.25
0.343444948	0	0	0.343444948	0	2	1	25	22	105.5
0.257705096	0	0	0.257705096	0	2	1	25.5	22	105.75
0.084718308	0	0	0.084718308	0	2	1	26	22	106
0.360336668	0	0	0.360336668	0	2	1	26.5	22	106.25
0.210020652	0	0	0.210020652	240	2	1	27	22	106.5
0.557881316	0	0	0.557881316	160	2	1	27.5	22	106.75
0.192394844	0	0	0.192394844	0	2	1	28	22	107
0.2026429	0	0	0.2026429	20	2	1	28.5	22	107.25
0.098372232	0	0	0.098372232	20	2	1	29	22	107.5
0.199389736	0	0	0.199389736	0	2	1	29.5	22	107.75
1.38055198	0	0	1.38055198	0	2	1	30	22	108
1.569402104	0	0	1.569402104	0	0	1	30.5	22	108.25
0.418739832	0	0	0.418739832	0	0	1	31	22	108.5
0.35789064	0	0	0.35789064	0	0	1	31.5	22	108.75
0.321713532	0	0	0.321713532	20	0	1	32	22	109
0.301813176	0	0	0.301813176	0	2	1	32.5	22	109.25
0.123544376	0	0	0.123544376	0	2	1	33	22	109.5
