1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Nutzung	Qel_MFH_groﬂ	WW_MFH_groﬂ	EW_MFH_groﬂ	WindAPG_2013	WindAPG_2014	WindAPG_2015	Wind_2030_TU	WEB_2013	WEB_2014	WEB_2015	WEB_2016	CO2_Strommix_2015	CO2_Strommix_2050opti	Laufwasser	PV	Wind	Nachfrage	Differenz1	Biomasse_opt	Differenz2	Geothermie_opt	Differenz3	‹berschuss_2050	Unterschuss_2050	Taussen_48Stunden	IGS_48Stunden	IGN_48Stunden	Leistung Klein
Einheit	KW_ges1000000kWh/a	KW_ges1000000kWh/a	100_EW	1.37	2.176	2.549	6.677	0	0	4.53	0	52.4	453.5	9	9.5	4.4	13	10.6	0.3	10.3	2.5	7.8	9.4	7.8	ta                       	igs                      	ign                      	Pklein
Dienstleistung	Lastsyn	WW	Anzahl_Pers	GW	GW	GW	GW	MW	MW	MW	MW	CO2 [g/kWh]	CO2 [g/kWh]	GW	GW	GW	GW	GW	GW	GW	GW	GW	GW	GW	∞C	W/m≤	W/m≤	W
41	129.15	133.35	30	0.317421	0.5527088	0.6474103	3.852814995	0	0	3.057477	0	32.7249754	283.1893876	2.143332446	0.080267294	1.12752585	8.85016151	5.499035921	0.270098507	5.228937414	2.467812283	2.761125131	0	2.761125131	-0.4	0	0	0
42	166.83	159.84	80	0.401015	1.0481005	0.6669355	4.942986502	0	0	3.984075	0	32.13192919	261.4661186	2.326476941	0	2.13812808	7.672717975	3.208112954	0.270098507	2.938014447	2.467812283	0.470202164	0	0.470202164	-0.2	0	0	0
43	187.78	159.84	80	0.5319438	1.498309	0.7411823	5.636931024	0	0	3.371706	0	30.54292549	263.3000436	1.916840141	0	3.0565524	7.569426693	2.596034152	0.270098507	2.325935646	2.467812283	-0.141876638	0.141876638	0	0	0	0	0
44	168.89	133.35	80	0.5910698	1.6145918	0.7258873	6.392170325	0	0	2.005215	0	29.9456609	258.7595085	1.935588068	0	3.2937687	7.460739597	2.231382829	0.270098507	1.961284322	2.467812283	-0.506527961	0.506527961	0	-0.35	0	0	0
45	141.53	106.85	80	0.591313	1.7020185	0.811982	6.403115826	0	0	1.833693	0	29.58703039	253.6159298	1.853660708	0	3.4721208	6.825832238	1.50005073	0.270098507	1.229952223	2.467812283	-1.23786006	1.23786006	0	-0.95	0	0	0
46	117.13	52.99	80	0.6333545	1.6366245	0.8188345	6.300228152	0	0	1.461213	0	29.94315727	252.3745244	1.795683013	0	3.338715	6.910366645	1.775968633	0.270098507	1.505870126	2.467812283	-0.961942157	0.961942157	0	-1.55	0	0	0
47	86.74	52.99	80	0.5780725	1.5119225	0.8690123	6.306795444	0	0	0.82842	0	30.63835632	257.4569981	1.723834018	0	3.0843219	6.84150579	2.033349872	0.270098507	1.763251366	2.467812283	-0.704560918	0.704560918	0	-2.05	0	0	0
48	58.53	26.49	80	0.5428228	1.4066555	0.8841485	5.914946651	0	0	0.656379	0	31.22372401	254.4560044	1.713538913	0	2.8695813	6.609999707	2.026879494	0.270098507	1.756780987	2.467812283	-0.711031296	0.711031296	0	-2.85	0	0	0
49	43.29	26.49	80	0.440864	1.372611	0.8387698	5.645687425	0	0	2.125872	0	31.1164591	239.5187907	2.020224666	0	2.8001244	7.486433946	2.666084879	0.270098507	2.395986373	2.467812283	-0.07182591	0.07182591	0	-3.75	0	0	0
50	39.71	26.49	80	0.3680088	1.3503938	0.7884748	5.352348096	0	0	1.84353	0	30.95702168	232.4213035	2.323442595	0	2.7548058	7.42412515	2.345876755	0.270098507	2.075778249	2.467812283	-0.392034034	0.392034034	0	-4.35	0	0	0
